clone_pair,start_commit,end_commit,genealogy
torch/optim/adagrad.py^54^92+torch/optim/adam.py^56^119,4a544df00d,95c148e502,"I,3d358a7678,3,2-I,7176c92687,8,3-I,dabfea8363,167,1-I,5f9590681d,181,2-I,6642e88ad2,31,1-I,ba27ee9e8f,8,2"
torch/optim/adagrad.py^54^92+torch/optim/adamax.py^41^98,4a544df00d,95c148e502,"I,7176c92687,7,3-I,dabfea8363,167,1-I,d9acfef831,147,2-I,6642e88ad2,31,1-I,2a496e2f80,4,2"
torch/optim/adagrad.py^54^92+torch/optim/adamw.py^55^123,4a544df00d,95c148e502,"I,a9c7d626e1,3,2-I,7176c92687,8,3-I,dabfea8363,167,1-I,2a5aaf1c49,182,2-I,6642e88ad2,31,1-I,ba27ee9e8f,8,2"
torch/optim/adagrad.py^54^92+torch/optim/asgd.py^37^94,4a544df00d,95c148e502,"I,7176c92687,3,1-I,8bb1d06702,23,2-I,dabfea8363,167,1-I,0972db5b7d,157,2-I,6642e88ad2,31,1-I,14bd5bd6ee,3,2-I,135af0fe30,3,2"
torch/optim/adagrad.py^54^92+torch/optim/nadam.py^45^110,4a544df00d,95c148e502,"I,7176c92687,3,1-I,ccc1a01dcb,14,2-I,dabfea8363,167,1-I,3653f07c7c,25,2-I,6642e88ad2,31,1"
torch/optim/adagrad.py^54^92+torch/optim/radam.py^41^96,4a544df00d,95c148e502,"I,7176c92687,9,3-I,dabfea8363,167,1-I,5948522e9c,168,2-I,6642e88ad2,31,1"
torch/optim/adagrad.py^54^92+torch/optim/rprop.py^30^82,4a544df00d,95c148e502,"I,7176c92687,3,1-I,dabfea8363,167,1-I,dff58d519f,135,2-I,6642e88ad2,31,1-I,495aa9bc3a,4,2-I,0b8a5ca01b,4,2"
torch/optim/adagrad.py^54^92+torch/optim/sparse_adam.py^54^111,4a544df00d,95c148e502,"I,7176c92687,3,1-I,dabfea8363,167,1-I,6642e88ad2,31,1-I,f24c94d7ae,4,2"
benchmarks/distributed/rpc/parameter_server/trainer/hooks.py^7^30+benchmarks/distributed/rpc/parameter_server/trainer/hooks.py^76^98,5a5c7f563d,95c148e502,"C,34c9f5a8da,4,3"
benchmarks/distributed/ddp/compare/compare_ddp.py^43^48+torch/_appdirs.py^447^454,e098e9000b,95c148e502,"I,b004307252,6,2-C,1022443168,6,2"
torch/torch_version.py^51^59+torch/torch_version.py^60^67,e5fcc903d6,08d8f81704,"C,b004307252,2,3-C,1022443168,1,1-C,5721205417,9,2-C,8deaa476ac,7,1-I,3ed27a96ed,13,3"
torch/nn/modules/instancenorm.py^130^142+torch/nn/modules/instancenorm.py^169^181,bdf439a958,95c148e502,"C,4056251a18,6,1-I,a421ee0e52,22,3"
torch/ao/sparsity/experimental/pruner/parametrization.py^20^28+torch/ao/sparsity/experimental/pruner/parametrization.py^33^39,3687bbb1ed,95c148e502,"I,5dee15401c,14,3-I,1256dcd509,22,2-I,d176c82bd5,5,2"
