clone_pair,start_commit,end_commit,genealogy
jax/core.py^93^117+jax/interpreters/partial_eval.py^353^379,3c4b1ef01,cc1d2aaae,"I,5aef18f89,4,1-I,1fcebbaa0,11,2-I,235334544,16,2-I,1e7d13b5f,3,1-I,68b32bf70,6,1-I,abbc70b20,3,2-I,6124f703a,1,2-I,34065df24,32,3-I,042df4ebf,2,1-I,177e7cf31,2,1-I,3290e16a9,11,3-I,75278309a,9,2-I,4236eb2b5,3,1-I,6614f9489,3,1-I,bdd791566,4,2-I,2ab00151e,4,1-I,32319e1bc,3,1"
jax/interpreters/partial_eval.py^55^65+jax/interpreters/partial_eval.py^203^213,3c4b1ef01,cc1d2aaae,"I,1c134f8a6,2,1-I,abbc70b20,6,1-I,b1cb3a5de,1,2-I,c1ccbdf1a,12,2-I,34065df24,6,1-I,75278309a,8,2-I,75b00a123,3,2-I,7ec0b4017,3,2"
jax/interpreters/partial_eval.py^55^65+jax/interpreters/partial_eval.py^223^233,3c4b1ef01,cc1d2aaae,"I,1fcebbaa0,4,2-I,1c134f8a6,2,1-I,abbc70b20,8,3-I,34065df24,9,3"
jax/interpreters/partial_eval.py^203^213+jax/interpreters/partial_eval.py^223^233,3c4b1ef01,cc1d2aaae,"I,1fcebbaa0,4,2-I,abbc70b20,2,2-I,b1cb3a5de,1,1-I,c1ccbdf1a,12,1-I,34065df24,3,2-I,75278309a,8,1-I,75b00a123,3,1-I,7ec0b4017,3,1"
jax/core.py^42^48+jax/interpreters/xla.py^242^250,c092f0caf,267a4ca4c,"I,a15aa9bd4,2,2-I,87d959089,1,2-I,5290c03a1,2,2-I,d55ea510e,2,2-I,34065df24,8,1-I,177e7cf31,2,1-I,75278309a,4,2-I,6614f9489,1,1-I,2bd010ae8,10,2"
jax/core.py^416^422+jax/interpreters/xla.py^212^217,c092f0caf,cc1d2aaae,"I,a15aa9bd4,2,2-I,47df7b95c,2,2-I,2bd010ae8,24,2-I,1a7374361,2,2-I,3f34ee425,3,2-I,a48752a57,4,2-I,40805e4f1,1,2"
jax/abstract_arrays.py^111^116+jax/interpreters/xla.py^272^277,c092f0caf,0080c8954,"I,42dd736af,7,1-I,e14052046,2,2-I,1e7d13b5f,8,1"
jax/interpreters/xla.py^278^283+jax/interpreters/xla.py^284^289,c092f0caf,267a4ca4c,"I,75278309a,2,2-I,a7c2cdea6,8,3-I,2bd010ae8,6,3"
jax/experimental/optimizers.py^77^96+jax/experimental/optimizers.py^98^117,99bbd5b91,8dbd51d3f,"I,9788a3584,3,3-I,adb15b7f4,8,3-I,dcc882cf6,2,1-I,b1bc841ae,2,1-I,538691b9f,4,2-I,0e229e4ea,4,2-I,afeefa6f1,23,2-I,3ac809ede,2,1-I,623c20105,53,3"
jax/core.py^42^48+jax/interpreters/xla.py^247^255,3d0bf9189,267a4ca4c,"I,a15aa9bd4,2,2-I,5290c03a1,2,2-I,34065df24,8,1-I,177e7cf31,2,1-I,6614f9489,1,1-I,2bd010ae8,9,2"
jax/core.py^420^426+jax/interpreters/xla.py^217^222,3d0bf9189,3f9e45e0c,"I,a15aa9bd4,2,2-I,47df7b95c,2,2-I,d55ea510e,2,2-I,75278309a,4,2-I,2bd010ae8,2,2-I,1a7374361,2,2-I,a48752a57,4,2"
jax/abstract_arrays.py^111^116+jax/interpreters/xla.py^277^282,3d0bf9189,0080c8954,"I,42dd736af,7,1-I,1e7d13b5f,8,1"
jax/interpreters/xla.py^283^288+jax/interpreters/xla.py^289^294,3d0bf9189,267a4ca4c,"I,75278309a,2,2-I,a7c2cdea6,8,1-I,2bd010ae8,2,3"
jax/core.py^42^48+jax/interpreters/xla.py^252^260,27bedc2a1,267a4ca4c,"I,ccb203c89,2,2-I,34065df24,8,1-I,177e7cf31,2,1-I,6614f9489,1,1-I,2bd010ae8,13,2"
